year,round,race_name,circuit,driver,constructor,grid,position,points,status,laps
2000,1,Australian Grand Prix,albert_park,michael_schumacher,ferrari,3,1,10.0,Finished,58
2000,1,Australian Grand Prix,albert_park,barrichello,ferrari,4,2,6.0,Finished,58
2000,1,Australian Grand Prix,albert_park,ralf_schumacher,williams,11,3,4.0,Finished,58
2000,1,Australian Grand Prix,albert_park,villeneuve,bar,8,4,3.0,Finished,58
2000,1,Australian Grand Prix,albert_park,fisichella,benetton,9,5,2.0,Finished,58
2000,1,Australian Grand Prix,albert_park,zonta,bar,16,6,1.0,Finished,58
2000,1,Australian Grand Prix,albert_park,wurz,benetton,14,7,0.0,Finished,58
2000,1,Australian Grand Prix,albert_park,gene,minardi,18,8,0.0,+1 Lap,57
2000,1,Australian Grand Prix,albert_park,heidfeld,prost,15,9,0.0,+2 Laps,56
2000,1,Australian Grand Prix,albert_park,salo,sauber,10,10,0.0,Disqualified,58
2000,1,Australian Grand Prix,albert_park,button,williams,21,11,0.0,Engine,46
2000,1,Australian Grand Prix,albert_park,diniz,sauber,19,12,0.0,Transmission,41
2000,1,Australian Grand Prix,albert_park,mazzacane,minardi,22,13,0.0,Gearbox,40
2000,1,Australian Grand Prix,albert_park,frentzen,jordan,5,14,0.0,Hydraulics,39
2000,1,Australian Grand Prix,albert_park,trulli,jordan,6,15,0.0,Engine,35
2000,1,Australian Grand Prix,albert_park,alesi,prost,17,16,0.0,Hydraulics,27
2000,1,Australian Grand Prix,albert_park,hakkinen,mclaren,1,17,0.0,Engine,18
2000,1,Australian Grand Prix,albert_park,verstappen,arrows,13,18,0.0,Suspension,16
2000,1,Australian Grand Prix,albert_park,coulthard,mclaren,2,19,0.0,Engine,11
2000,1,Australian Grand Prix,albert_park,rosa,arrows,12,20,0.0,Suspension,6
2000,1,Australian Grand Prix,albert_park,irvine,jaguar,7,21,0.0,Spun off,6
2000,1,Australian Grand Prix,albert_park,herbert,jaguar,20,22,0.0,Clutch,1
2000,2,Brazilian Grand Prix,interlagos,michael_schumacher,ferrari,3,1,10.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,fisichella,benetton,5,2,6.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,frentzen,jordan,7,3,4.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,trulli,jordan,12,4,3.0,Finished,71
2000,2,Brazilian Grand Prix,interlagos,ralf_schumacher,williams,11,5,2.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,button,williams,9,6,1.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,verstappen,arrows,14,7,0.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,rosa,arrows,16,8,0.0,+1 Lap,70
2000,2,Brazilian Grand Prix,interlagos,zonta,bar,8,9,0.0,+2 Laps,69
2000,2,Brazilian Grand Prix,interlagos,mazzacane,minardi,20,10,0.0,+2 Laps,69
2000,2,Brazilian Grand Prix,interlagos,coulthard,mclaren,2,11,0.0,Disqualified,71
2000,2,Brazilian Grand Prix,interlagos,herbert,jaguar,17,12,0.0,Gearbox,51
2000,2,Brazilian Grand Prix,interlagos,gene,minardi,18,13,0.0,Engine,31
2000,2,Brazilian Grand Prix,interlagos,hakkinen,mclaren,1,14,0.0,Oil pressure,30
2000,2,Brazilian Grand Prix,interlagos,barrichello,ferrari,4,15,0.0,Hydraulics,27
2000,2,Brazilian Grand Prix,interlagos,irvine,jaguar,6,16,0.0,Spun off,20
2000,2,Brazilian Grand Prix,interlagos,villeneuve,bar,10,17,0.0,Gearbox,16
2000,2,Brazilian Grand Prix,interlagos,alesi,prost,15,18,0.0,Electrical,11
2000,2,Brazilian Grand Prix,interlagos,heidfeld,prost,19,19,0.0,Engine,9
2000,2,Brazilian Grand Prix,interlagos,wurz,benetton,13,20,0.0,Engine,6
2000,2,Brazilian Grand Prix,interlagos,diniz,sauber,0,21,0.0,Safety concerns,0
2000,2,Brazilian Grand Prix,interlagos,salo,sauber,0,22,0.0,Safety concerns,0
2000,3,San Marino Grand Prix,imola,michael_schumacher,ferrari,2,1,10.0,Finished,62
2000,3,San Marino Grand Prix,imola,hakkinen,mclaren,1,2,6.0,Finished,62
2000,3,San Marino Grand Prix,imola,coulthard,mclaren,3,3,4.0,Finished,62
2000,3,San Marino Grand Prix,imola,barrichello,ferrari,4,4,3.0,Finished,62
2000,3,San Marino Grand Prix,imola,villeneuve,bar,9,5,2.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,salo,sauber,12,6,1.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,irvine,jaguar,7,7,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,diniz,sauber,10,8,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,wurz,benetton,11,9,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,herbert,jaguar,17,10,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,fisichella,benetton,19,11,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,zonta,bar,14,12,0.0,+1 Lap,61
2000,3,San Marino Grand Prix,imola,mazzacane,minardi,20,13,0.0,+2 Laps,60
2000,3,San Marino Grand Prix,imola,verstappen,arrows,16,14,0.0,+3 Laps,59
2000,3,San Marino Grand Prix,imola,trulli,jordan,8,15,0.0,Gearbox,58
2000,3,San Marino Grand Prix,imola,rosa,arrows,13,16,0.0,Spun off,49
2000,3,San Marino Grand Prix,imola,ralf_schumacher,williams,5,17,0.0,Fuel system,45
2000,3,San Marino Grand Prix,imola,alesi,prost,15,18,0.0,Hydraulics,25
2000,3,San Marino Grand Prix,imola,heidfeld,prost,22,19,0.0,Hydraulics,22
2000,3,San Marino Grand Prix,imola,button,williams,18,20,0.0,Engine,5
2000,3,San Marino Grand Prix,imola,gene,minardi,21,21,0.0,Spun off,5
2000,3,San Marino Grand Prix,imola,frentzen,jordan,6,22,0.0,Gearbox,4
2000,4,British Grand Prix,silverstone,coulthard,mclaren,4,1,10.0,Finished,60
2000,4,British Grand Prix,silverstone,hakkinen,mclaren,3,2,6.0,Finished,60
2000,4,British Grand Prix,silverstone,michael_schumacher,ferrari,5,3,4.0,Finished,60
2000,4,British Grand Prix,silverstone,ralf_schumacher,williams,7,4,3.0,Finished,60
2000,4,British Grand Prix,silverstone,button,williams,6,5,2.0,Finished,60
2000,4,British Grand Prix,silverstone,trulli,jordan,11,6,1.0,Finished,60
2000,4,British Grand Prix,silverstone,fisichella,benetton,12,7,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,salo,sauber,18,8,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,wurz,benetton,20,9,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,alesi,prost,15,10,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,diniz,sauber,13,11,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,herbert,jaguar,14,12,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,irvine,jaguar,9,13,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,gene,minardi,21,14,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,mazzacane,minardi,22,15,0.0,+1 Lap,59
2000,4,British Grand Prix,silverstone,villeneuve,bar,10,16,0.0,+4 Laps,56
2000,4,British Grand Prix,silverstone,frentzen,jordan,2,17,0.0,+6 Laps,54
2000,4,British Grand Prix,silverstone,heidfeld,prost,17,18,0.0,Engine,51
2000,4,British Grand Prix,silverstone,zonta,bar,16,19,0.0,Spun off,36
2000,4,British Grand Prix,silverstone,barrichello,ferrari,1,20,0.0,Hydraulics,35
2000,4,British Grand Prix,silverstone,rosa,arrows,19,21,0.0,Electrical,26
2000,4,British Grand Prix,silverstone,verstappen,arrows,8,22,0.0,Electrical,20
2000,5,Spanish Grand Prix,catalunya,hakkinen,mclaren,2,1,10.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,coulthard,mclaren,4,2,6.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,barrichello,ferrari,3,3,4.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,ralf_schumacher,williams,5,4,3.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,michael_schumacher,ferrari,1,5,2.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,frentzen,jordan,8,6,1.0,Finished,65
2000,5,Spanish Grand Prix,catalunya,salo,sauber,12,7,0.0,+1 Lap,64
2000,5,Spanish Grand Prix,catalunya,zonta,bar,16,8,0.0,+1 Lap,64
2000,5,Spanish Grand Prix,catalunya,fisichella,benetton,13,9,0.0,+1 Lap,64
2000,5,Spanish Grand Prix,catalunya,wurz,benetton,18,10,0.0,+1 Lap,64
2000,5,Spanish Grand Prix,catalunya,irvine,jaguar,9,11,0.0,+1 Lap,64
2000,5,Spanish Grand Prix,catalunya,trulli,jordan,7,12,0.0,+1 Lap,64
2001,1,Australian Grand Prix,albert_park,michael_schumacher,ferrari,1,1,10.0,Finished,58
2001,1,Australian Grand Prix,albert_park,coulthard,mclaren,6,2,6.0,Finished,58
2001,1,Australian Grand Prix,albert_park,barrichello,ferrari,2,3,4.0,Finished,58
2001,1,Australian Grand Prix,albert_park,heidfeld,sauber,10,4,3.0,Finished,58
2001,1,Australian Grand Prix,albert_park,frentzen,jordan,4,5,2.0,Finished,58
2001,1,Australian Grand Prix,albert_park,raikkonen,sauber,13,6,1.0,Finished,58
2001,1,Australian Grand Prix,albert_park,panis,bar,9,7,0.0,Finished,58
2001,1,Australian Grand Prix,albert_park,burti,jaguar,21,8,0.0,+1 Lap,57
2001,1,Australian Grand Prix,albert_park,alesi,prost,14,9,0.0,+1 Lap,57
2001,1,Australian Grand Prix,albert_park,verstappen,arrows,15,10,0.0,+1 Lap,57
2001,1,Australian Grand Prix,albert_park,irvine,jaguar,12,11,0.0,+1 Lap,57
2001,1,Australian Grand Prix,albert_park,alonso,minardi,19,12,0.0,+2 Laps,56
2001,1,Australian Grand Prix,albert_park,fisichella,benetton,17,13,0.0,+3 Laps,55
2001,1,Australian Grand Prix,albert_park,button,benetton,16,14,0.0,Electrical,52
2001,1,Australian Grand Prix,albert_park,montoya,williams,11,15,0.0,Engine,40
2001,1,Australian Grand Prix,albert_park,trulli,jordan,7,16,0.0,Engine,38
2001,1,Australian Grand Prix,albert_park,hakkinen,mclaren,3,17,0.0,Suspension,25
2001,1,Australian Grand Prix,albert_park,ralf_schumacher,williams,5,18,0.0,Collision,4
2001,1,Australian Grand Prix,albert_park,villeneuve,bar,8,19,0.0,Collision,4
2001,1,Australian Grand Prix,albert_park,marques,minardi,22,20,0.0,Battery,3
2001,1,Australian Grand Prix,albert_park,bernoldi,arrows,18,21,0.0,Spun off,2
2001,1,Australian Grand Prix,albert_park,mazzacane,prost,20,22,0.0,Brakes,0
2001,2,Malaysian Grand Prix,sepang,michael_schumacher,ferrari,1,1,10.0,Finished,55
2001,2,Malaysian Grand Prix,sepang,barrichello,ferrari,2,2,6.0,Finished,55
2001,2,Malaysian Grand Prix,sepang,coulthard,mclaren,8,3,4.0,Finished,55
2001,2,Malaysian Grand Prix,sepang,frentzen,jordan,9,4,3.0,Finished,55
2001,2,Malaysian Grand Prix,sepang,ralf_schumacher,williams,3,5,2.0,Finished,55
2001,2,Malaysian Grand Prix,sepang,hakkinen,mclaren,4,6,1.0,Finished,55
2001,2,Malaysian Grand Prix,sepang,verstappen,arrows,18,7,0.0,Finished,55
2001,2,Malaysian Grand Prix,sepang,trulli,jordan,5,8,0.0,+1 Lap,54
2001,2,Malaysian Grand Prix,sepang,alesi,prost,13,9,0.0,+1 Lap,54
2001,2,Malaysian Grand Prix,sepang,burti,jaguar,15,10,0.0,+1 Lap,54
2001,2,Malaysian Grand Prix,sepang,button,benetton,17,11,0.0,+2 Laps,53
2001,2,Malaysian Grand Prix,sepang,mazzacane,prost,19,12,0.0,+2 Laps,53
2001,2,Malaysian Grand Prix,sepang,alonso,minardi,21,13,0.0,+3 Laps,52
2001,2,Malaysian Grand Prix,sepang,marques,minardi,20,14,0.0,+4 Laps,51
2001,2,Malaysian Grand Prix,sepang,fisichella,benetton,16,15,0.0,Fuel pressure,31
2001,2,Malaysian Grand Prix,sepang,villeneuve,bar,7,16,0.0,Spun off,3
2001,2,Malaysian Grand Prix,sepang,heidfeld,sauber,11,17,0.0,Spun off,3
2001,2,Malaysian Grand Prix,sepang,bernoldi,arrows,22,18,0.0,Spun off,3
2001,2,Malaysian Grand Prix,sepang,montoya,williams,6,19,0.0,Spun off,3
2001,2,Malaysian Grand Prix,sepang,irvine,jaguar,12,20,0.0,Water leak,3
2001,2,Malaysian Grand Prix,sepang,panis,bar,10,21,0.0,Oil leak,1
2001,2,Malaysian Grand Prix,sepang,raikkonen,sauber,14,22,0.0,Driveshaft,0
2001,3,Brazilian Grand Prix,interlagos,coulthard,mclaren,5,1,10.0,Finished,71
2001,3,Brazilian Grand Prix,interlagos,michael_schumacher,ferrari,1,2,6.0,Finished,71
2001,3,Brazilian Grand Prix,interlagos,heidfeld,sauber,9,3,4.0,+1 Lap,70
2001,3,Brazilian Grand Prix,interlagos,panis,bar,11,4,3.0,+1 Lap,70
2001,3,Brazilian Grand Prix,interlagos,trulli,jordan,7,5,2.0,+1 Lap,70
2001,3,Brazilian Grand Prix,interlagos,fisichella,benetton,18,6,1.0,+1 Lap,70
2001,3,Brazilian Grand Prix,interlagos,villeneuve,bar,12,7,0.0,+1 Lap,70
2001,3,Brazilian Grand Prix,interlagos,alesi,prost,15,8,0.0,+1 Lap,70
2001,3,Brazilian Grand Prix,interlagos,marques,minardi,22,9,0.0,+3 Laps,68
2001,3,Brazilian Grand Prix,interlagos,button,benetton,20,10,0.0,+7 Laps,64
2001,3,Brazilian Grand Prix,interlagos,frentzen,jordan,8,11,0.0,Electrical,63
2001,3,Brazilian Grand Prix,interlagos,raikkonen,sauber,10,12,0.0,Spun off,55
2001,3,Brazilian Grand Prix,interlagos,ralf_schumacher,williams,2,13,0.0,Spun off,54
2001,3,Brazilian Grand Prix,interlagos,mazzacane,prost,21,14,0.0,Clutch,54
2001,3,Brazilian Grand Prix,interlagos,irvine,jaguar,13,15,0.0,Spun off,52
2001,3,Brazilian Grand Prix,interlagos,montoya,williams,4,16,0.0,Collision,38
2001,3,Brazilian Grand Prix,interlagos,verstappen,arrows,17,17,0.0,Collision,37
2001,3,Brazilian Grand Prix,interlagos,burti,jaguar,14,18,0.0,Engine,30
2001,3,Brazilian Grand Prix,interlagos,alonso,minardi,19,19,0.0,Electrical,25
2001,3,Brazilian Grand Prix,interlagos,bernoldi,arrows,16,20,0.0,Hydraulics,15
2001,3,Brazilian Grand Prix,interlagos,barrichello,ferrari,6,21,0.0,Collision,2
2001,3,Brazilian Grand Prix,interlagos,hakkinen,mclaren,3,22,0.0,Stalled,0
2001,4,San Marino Grand Prix,imola,ralf_schumacher,williams,3,1,10.0,Finished,62
2001,4,San Marino Grand Prix,imola,coulthard,mclaren,1,2,6.0,Finished,62
2001,4,San Marino Grand Prix,imola,barrichello,ferrari,6,3,4.0,Finished,62
2001,4,San Marino Grand Prix,imola,hakkinen,mclaren,2,4,3.0,Finished,62
2001,4,San Marino Grand Prix,imola,trulli,jordan,5,5,2.0,Finished,62
2001,4,San Marino Grand Prix,imola,frentzen,jordan,9,6,1.0,+1 Lap,61
2001,4,San Marino Grand Prix,imola,heidfeld,sauber,12,7,0.0,+1 Lap,61
2001,4,San Marino Grand Prix,imola,panis,bar,8,8,0.0,+1 Lap,61
2001,4,San Marino Grand Prix,imola,alesi,prost,14,9,0.0,+1 Lap,61
2001,4,San Marino Grand Prix,imola,bernoldi,arrows,16,10,0.0,+2 Laps,60
2001,4,San Marino Grand Prix,imola,burti,jaguar,15,11,0.0,+2 Laps,60
2001,4,San Marino Grand Prix,imola,button,benetton,21,12,0.0,+2 Laps,60
2001,4,San Marino Grand Prix,imola,marques,minardi,22,13,0.0,Engine,50
2001,4,San Marino Grand Prix,imola,montoya,williams,7,14,0.0,Clutch,48
2001,4,San Marino Grand Prix,imola,irvine,jaguar,13,15,0.0,Engine,42
2001,4,San Marino Grand Prix,imola,fisichella,benetton,19,16,0.0,Engine,31
2001,4,San Marino Grand Prix,imola,villeneuve,bar,11,17,0.0,Engine,30
2001,4,San Marino Grand Prix,imola,mazzacane,prost,20,18,0.0,Engine,28
2001,4,San Marino Grand Prix,imola,michael_schumacher,ferrari,4,19,0.0,Suspension,24
2001,4,San Marino Grand Prix,imola,raikkonen,sauber,10,20,0.0,Steering,17
2001,4,San Marino Grand Prix,imola,verstappen,arrows,17,21,0.0,Exhaust,6
2001,4,San Marino Grand Prix,imola,alonso,minardi,18,22,0.0,Brakes,5
2001,5,Spanish Grand Prix,catalunya,michael_schumacher,ferrari,1,1,10.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,montoya,williams,12,2,6.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,villeneuve,bar,7,3,4.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,trulli,jordan,6,4,3.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,coulthard,mclaren,3,5,2.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,heidfeld,sauber,10,6,1.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,panis,bar,11,7,0.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,raikkonen,sauber,9,8,0.0,Finished,65
2001,5,Spanish Grand Prix,catalunya,hakkinen,mclaren,2,9,0.0,Clutch,64
2001,5,Spanish Grand Prix,catalunya,alesi,prost,15,10,0.0,+1 Lap,64
2001,5,Spanish Grand Prix,catalunya,burti,prost,14,11,0.0,+1 Lap,64
2001,5,Spanish Grand Prix,catalunya,verstappen,arrows,17,12,0.0,+2 Laps,63
2002,1,Australian Grand Prix,albert_park,michael_schumacher,ferrari,2,1,10.0,Finished,58
2002,1,Australian Grand Prix,albert_park,montoya,williams,6,2,6.0,Finished,58
2002,1,Australian Grand Prix,albert_park,raikkonen,mclaren,5,3,4.0,Finished,58
2002,1,Australian Grand Prix,albert_park,irvine,jaguar,19,4,3.0,+1 Lap,57
2002,1,Australian Grand Prix,albert_park,webber,minardi,18,5,2.0,+2 Laps,56
2002,1,Australian Grand Prix,albert_park,salo,toyota,14,6,1.0,+2 Laps,56
2002,1,Australian Grand Prix,albert_park,yoong,minardi,21,7,0.0,+3 Laps,55
2002,1,Australian Grand Prix,albert_park,rosa,jaguar,20,8,0.0,+5 Laps,53
2002,1,Australian Grand Prix,albert_park,coulthard,mclaren,4,9,0.0,Gearbox,33
2002,1,Australian Grand Prix,albert_park,villeneuve,bar,13,10,0.0,Broken wing,27
2002,1,Australian Grand Prix,albert_park,frentzen,arrows,15,11,0.0,Disqualified,16
2002,1,Australian Grand Prix,albert_park,bernoldi,arrows,17,12,0.0,Disqualified,15
2002,1,Australian Grand Prix,albert_park,sato,jordan,22,13,0.0,Electrical,12
2002,1,Australian Grand Prix,albert_park,trulli,renault,7,14,0.0,Spun off,8
2002,1,Australian Grand Prix,albert_park,barrichello,ferrari,1,15,0.0,Collision,0
2002,1,Australian Grand Prix,albert_park,ralf_schumacher,williams,3,16,0.0,Collision,0
2002,1,Australian Grand Prix,albert_park,fisichella,jordan,8,17,0.0,Collision,0
2002,1,Australian Grand Prix,albert_park,massa,sauber,9,18,0.0,Collision,0
2002,1,Australian Grand Prix,albert_park,heidfeld,sauber,10,19,0.0,Collision,0
2002,1,Australian Grand Prix,albert_park,button,renault,11,20,0.0,Collision,0
2002,1,Australian Grand Prix,albert_park,panis,bar,12,21,0.0,Collision,0
2002,1,Australian Grand Prix,albert_park,mcnish,toyota,16,22,0.0,Collision,0
2002,2,Malaysian Grand Prix,sepang,ralf_schumacher,williams,4,1,10.0,Finished,56
2002,2,Malaysian Grand Prix,sepang,montoya,williams,2,2,6.0,Finished,56
2002,2,Malaysian Grand Prix,sepang,michael_schumacher,ferrari,1,3,4.0,Finished,56
2002,2,Malaysian Grand Prix,sepang,button,renault,8,4,3.0,Finished,56
2002,2,Malaysian Grand Prix,sepang,heidfeld,sauber,7,5,2.0,+1 Lap,55
2002,2,Malaysian Grand Prix,sepang,massa,sauber,14,6,1.0,+1 Lap,55
2002,2,Malaysian Grand Prix,sepang,mcnish,toyota,19,7,0.0,+1 Lap,55
2002,2,Malaysian Grand Prix,sepang,villeneuve,bar,13,8,0.0,+1 Lap,55
2002,2,Malaysian Grand Prix,sepang,sato,jordan,15,9,0.0,+2 Laps,54
2002,2,Malaysian Grand Prix,sepang,rosa,jaguar,17,10,0.0,+2 Laps,54
2002,2,Malaysian Grand Prix,sepang,frentzen,arrows,11,11,0.0,+2 Laps,54
2002,2,Malaysian Grand Prix,sepang,salo,toyota,10,12,0.0,+3 Laps,53
2002,2,Malaysian Grand Prix,sepang,fisichella,jordan,9,13,0.0,+3 Laps,53
2002,2,Malaysian Grand Prix,sepang,barrichello,ferrari,3,14,0.0,Engine,39
2002,2,Malaysian Grand Prix,sepang,webber,minardi,21,15,0.0,Electrical,34
2002,2,Malaysian Grand Prix,sepang,irvine,jaguar,20,16,0.0,Hydraulics,30
2002,2,Malaysian Grand Prix,sepang,yoong,minardi,22,17,0.0,Gearbox,29
2002,2,Malaysian Grand Prix,sepang,raikkonen,mclaren,5,18,0.0,Engine,24
2002,2,Malaysian Grand Prix,sepang,bernoldi,arrows,16,19,0.0,Fuel,20
2002,2,Malaysian Grand Prix,sepang,coulthard,mclaren,6,20,0.0,Engine,15
2002,2,Malaysian Grand Prix,sepang,panis,bar,18,21,0.0,Clutch,9
2002,2,Malaysian Grand Prix,sepang,trulli,renault,12,22,0.0,Overheating,9
2002,3,Brazilian Grand Prix,interlagos,michael_schumacher,ferrari,2,1,10.0,Finished,71
2002,3,Brazilian Grand Prix,interlagos,ralf_schumacher,williams,3,2,6.0,Finished,71
2002,3,Brazilian Grand Prix,interlagos,coulthard,mclaren,4,3,4.0,Finished,71
2002,3,Brazilian Grand Prix,interlagos,button,renault,7,4,3.0,Finished,71
2002,3,Brazilian Grand Prix,interlagos,montoya,williams,1,5,2.0,Finished,71
2002,3,Brazilian Grand Prix,interlagos,salo,toyota,10,6,1.0,+1 Lap,70
2002,3,Brazilian Grand Prix,interlagos,irvine,jaguar,13,7,0.0,+1 Lap,70
2002,3,Brazilian Grand Prix,interlagos,rosa,jaguar,11,8,0.0,+1 Lap,70
2002,3,Brazilian Grand Prix,interlagos,sato,jordan,19,9,0.0,+2 Laps,69
2002,3,Brazilian Grand Prix,interlagos,villeneuve,bar,15,10,0.0,Engine,68
2002,3,Brazilian Grand Prix,interlagos,webber,minardi,20,11,0.0,+3 Laps,68
2002,3,Brazilian Grand Prix,interlagos,raikkonen,mclaren,5,12,0.0,Wheel rim,67
2002,3,Brazilian Grand Prix,interlagos,yoong,minardi,22,13,0.0,+4 Laps,67
2002,3,Brazilian Grand Prix,interlagos,heidfeld,sauber,9,14,0.0,Brakes,61
2002,3,Brazilian Grand Prix,interlagos,trulli,renault,6,15,0.0,Engine,60
2002,3,Brazilian Grand Prix,interlagos,massa,sauber,12,16,0.0,Collision,41
2002,3,Brazilian Grand Prix,interlagos,mcnish,toyota,16,17,0.0,Spun off,40
2002,3,Brazilian Grand Prix,interlagos,panis,bar,17,18,0.0,Gearbox,25
2002,3,Brazilian Grand Prix,interlagos,frentzen,arrows,18,19,0.0,Suspension,25
2002,3,Brazilian Grand Prix,interlagos,bernoldi,arrows,21,20,0.0,Suspension,19
2002,3,Brazilian Grand Prix,interlagos,barrichello,ferrari,8,21,0.0,Hydraulics,16
2002,3,Brazilian Grand Prix,interlagos,fisichella,jordan,14,22,0.0,Engine,6
2002,4,San Marino Grand Prix,imola,michael_schumacher,ferrari,1,1,10.0,Finished,62
2002,4,San Marino Grand Prix,imola,barrichello,ferrari,2,2,6.0,Finished,62
2002,4,San Marino Grand Prix,imola,ralf_schumacher,williams,3,3,4.0,Finished,62
2002,4,San Marino Grand Prix,imola,montoya,williams,4,4,3.0,Finished,62
2002,4,San Marino Grand Prix,imola,button,renault,9,5,2.0,Finished,62
2002,4,San Marino Grand Prix,imola,coulthard,mclaren,6,6,1.0,+1 Lap,61
2002,4,San Marino Grand Prix,imola,villeneuve,bar,10,7,0.0,+1 Lap,61
2002,4,San Marino Grand Prix,imola,massa,sauber,11,8,0.0,+1 Lap,61
2002,4,San Marino Grand Prix,imola,trulli,renault,8,9,0.0,+1 Lap,61
2002,4,San Marino Grand Prix,imola,heidfeld,sauber,7,10,0.0,+1 Lap,61
2002,4,San Marino Grand Prix,imola,webber,minardi,19,11,0.0,+2 Laps,60
2002,4,San Marino Grand Prix,imola,bernoldi,arrows,20,12,0.0,Power loss,50
2002,4,San Marino Grand Prix,imola,irvine,jaguar,18,13,0.0,Driveshaft,45
2002,4,San Marino Grand Prix,imola,raikkonen,mclaren,5,14,0.0,Exhaust,44
2002,4,San Marino Grand Prix,imola,panis,bar,12,15,0.0,Throttle,44
2002,4,San Marino Grand Prix,imola,rosa,jaguar,22,16,0.0,Driveshaft,30
2002,4,San Marino Grand Prix,imola,salo,toyota,16,17,0.0,Gearbox,26
2002,4,San Marino Grand Prix,imola,frentzen,arrows,13,18,0.0,Power loss,25
2002,4,San Marino Grand Prix,imola,fisichella,jordan,15,19,0.0,Hydraulics,19
2002,4,San Marino Grand Prix,imola,sato,jordan,14,20,0.0,Gearbox,5
2002,4,San Marino Grand Prix,imola,mcnish,toyota,17,21,0.0,Electrical,0
2002,5,Spanish Grand Prix,catalunya,michael_schumacher,ferrari,1,1,10.0,Finished,65
2002,5,Spanish Grand Prix,catalunya,montoya,williams,4,2,6.0,Finished,65
2002,5,Spanish Grand Prix,catalunya,coulthard,mclaren,7,3,4.0,Finished,65
2002,5,Spanish Grand Prix,catalunya,heidfeld,sauber,8,4,3.0,Finished,65
2002,5,Spanish Grand Prix,catalunya,massa,sauber,11,5,2.0,Finished,65
2002,5,Spanish Grand Prix,catalunya,frentzen,arrows,10,6,1.0,Finished,65
2002,5,Spanish Grand Prix,catalunya,villeneuve,bar,15,7,0.0,+1 Lap,64
2002,5,Spanish Grand Prix,catalunya,mcnish,toyota,19,8,0.0,+1 Lap,64
2002,5,Spanish Grand Prix,catalunya,salo,toyota,17,9,0.0,+1 Lap,64
2002,5,Spanish Grand Prix,catalunya,trulli,renault,9,10,0.0,Engine,63
2002,5,Spanish Grand Prix,catalunya,ralf_schumacher,williams,3,11,0.0,Engine,63
2002,5,Spanish Grand Prix,catalunya,button,renault,6,12,0.0,Hydraulics,60
2002,5,Spanish Grand Prix,catalunya,panis,bar,13,13,0.0,Exhaust,43
2003,1,Australian Grand Prix,albert_park,coulthard,mclaren,11,1,10.0,Finished,58
2003,1,Australian Grand Prix,albert_park,montoya,williams,3,2,8.0,Finished,58
2003,1,Australian Grand Prix,albert_park,raikkonen,mclaren,15,3,6.0,Finished,58
2003,1,Australian Grand Prix,albert_park,michael_schumacher,ferrari,1,4,5.0,Finished,58
2003,1,Australian Grand Prix,albert_park,trulli,renault,12,5,4.0,Finished,58
2003,1,Australian Grand Prix,albert_park,frentzen,sauber,4,6,3.0,Finished,58
2003,1,Australian Grand Prix,albert_park,alonso,renault,10,7,2.0,Finished,58
2003,1,Australian Grand Prix,albert_park,ralf_schumacher,williams,9,8,1.0,Finished,58
2003,1,Australian Grand Prix,albert_park,villeneuve,bar,6,9,0.0,Finished,58
2003,1,Australian Grand Prix,albert_park,button,bar,8,10,0.0,Finished,58
2003,1,Australian Grand Prix,albert_park,verstappen,minardi,20,11,0.0,+1 Lap,57
2003,1,Australian Grand Prix,albert_park,fisichella,jordan,13,12,0.0,Gearbox,52
2003,1,Australian Grand Prix,albert_park,pizzonia,jaguar,18,13,0.0,Suspension,52
